Nutrient,Age_Group,Gender,Amount,Unit,Source_Type,Source_Name,Source_URL,Nutrient_Notes
Arginine,Birth to 6 months,Female,120,mg/kg body weight,Research-based,WHO/FAO 2007,https://pubmed.ncbi.nlm.nih.gov/18469019/,"Conditionally essential during wound healing, burns, sepsis, trauma, surgery, immune dysfunction, stress, critical illness, pregnancy, and growth periods. Optimal: 3000-6000mg/day for cardiovascular health, therapeutic: up to 30000mg/day"
Arginine,Birth to 6 months,Male,120,mg/kg body weight,Research-based,WHO/FAO 2007,https://pubmed.ncbi.nlm.nih.gov/18469019/,"Conditionally essential during wound healing, burns, sepsis, trauma, surgery, immune dysfunction, stress, critical illness, pregnancy, and growth periods. Optimal: 3000-6000mg/day for cardiovascular health, therapeutic: up to 30000mg/day"
Arginine,7-12 months,Female,100,mg/kg body weight,Research-based,WHO/FAO 2007,https://pubmed.ncbi.nlm.nih.gov/18469019/,"Conditionally essential during wound healing, burns, sepsis, trauma, surgery, immune dysfunction, stress, critical illness, pregnancy, and growth periods. Optimal: 3000-6000mg/day for cardiovascular health, therapeutic: up to 30000mg/day"
Arginine,7-12 months,Male,100,mg/kg body weight,Research-based,WHO/FAO 2007,https://pubmed.ncbi.nlm.nih.gov/18469019/,"Conditionally essential during wound healing, burns, sepsis, trauma, surgery, immune dysfunction, stress, critical illness, pregnancy, and growth periods. Optimal: 3000-6000mg/day for cardiovascular health, therapeutic: up to 30000mg/day"
Arginine,1-3 years,Female,3500,mg,Research-based,Nutrition Research,https://doi.org/10.1016/j.nutres.2016.07.005,"Conditionally essential during wound healing, burns, sepsis, trauma, surgery, immune dysfunction, stress, critical illness, pregnancy, and growth periods. Optimal: 3000-6000mg/day for cardiovascular health, therapeutic: up to 30000mg/day"
Arginine,1-3 years,Male,3500,mg,Research-based,Nutrition Research,https://doi.org/10.1016/j.nutres.2016.07.005,"Conditionally essential during wound healing, burns, sepsis, trauma, surgery, immune dysfunction, stress, critical illness, pregnancy, and growth periods. Optimal: 3000-6000mg/day for cardiovascular health, therapeutic: up to 30000mg/day"
Arginine,4-8 years,Female,4000,mg,Research-based,Nutrition Research,https://doi.org/10.1016/j.nutres.2016.07.005,"Conditionally essential during wound healing, burns, sepsis, trauma, surgery, immune dysfunction, stress, critical illness, pregnancy, and growth periods. Optimal: 3000-6000mg/day for cardiovascular health, therapeutic: up to 30000mg/day"
Arginine,4-8 years,Male,4000,mg,Research-based,Nutrition Research,https://doi.org/10.1016/j.nutres.2016.07.005,"Conditionally essential during wound healing, burns, sepsis, trauma, surgery, immune dysfunction, stress, critical illness, pregnancy, and growth periods. Optimal: 3000-6000mg/day for cardiovascular health, therapeutic: up to 30000mg/day"
Arginine,9-13 years,Female,4500,mg,Research-based,Nutrition Research,https://doi.org/10.1016/j.nutres.2016.07.005,"Conditionally essential during wound healing, burns, sepsis, trauma, surgery, immune dysfunction, stress, critical illness, pregnancy, and growth periods. Optimal: 3000-6000mg/day for cardiovascular health, therapeutic: up to 30000mg/day"
Arginine,9-13 years,Male,4500,mg,Research-based,Nutrition Research,https://doi.org/10.1016/j.nutres.2016.07.005,"Conditionally essential during wound healing, burns, sepsis, trauma, surgery, immune dysfunction, stress, critical illness, pregnancy, and growth periods. Optimal: 3000-6000mg/day for cardiovascular health, therapeutic: up to 30000mg/day"
