nutrient,gender,age_start_months,age_end_months,amount,unit,source_type,source_name,source_url,notes
Arginine,Female,0,6,120,mg/kg body weight,Research-based,WHO/FAO 2007,https://pubmed.ncbi.nlm.nih.gov/18469019/,"Conditionally essential during wound healing, burns, sepsis, trauma, surgery, immune dysfunction, stress, critical illness, pregnancy, and growth periods. Optimal: 3000-6000mg/day for cardiovascular health, therapeutic: up to 30000mg/day"
Arginine,Male,0,6,120,mg/kg body weight,Research-based,WHO/FAO 2007,https://pubmed.ncbi.nlm.nih.gov/18469019/,"Conditionally essential during wound healing, burns, sepsis, trauma, surgery, immune dysfunction, stress, critical illness, pregnancy, and growth periods. Optimal: 3000-6000mg/day for cardiovascular health, therapeutic: up to 30000mg/day"
Arginine,Female,7,12,100,mg/kg body weight,Research-based,WHO/FAO 2007,https://pubmed.ncbi.nlm.nih.gov/18469019/,"Conditionally essential during wound healing, burns, sepsis, trauma, surgery, immune dysfunction, stress, critical illness, pregnancy, and growth periods. Optimal: 3000-6000mg/day for cardiovascular health, therapeutic: up to 30000mg/day"
Arginine,Male,7,12,100,mg/kg body weight,Research-based,WHO/FAO 2007,https://pubmed.ncbi.nlm.nih.gov/18469019/,"Conditionally essential during wound healing, burns, sepsis, trauma, surgery, immune dysfunction, stress, critical illness, pregnancy, and growth periods. Optimal: 3000-6000mg/day for cardiovascular health, therapeutic: up to 30000mg/day"
Arginine,Female,12,36,3500,mg,Research-based,Nutrition Research,https://doi.org/10.1016/j.nutres.2016.07.005,"Conditionally essential during wound healing, burns, sepsis, trauma, surgery, immune dysfunction, stress, critical illness, pregnancy, and growth periods. Optimal: 3000-6000mg/day for cardiovascular health, therapeutic: up to 30000mg/day"
Arginine,Male,12,36,3500,mg,Research-based,Nutrition Research,https://doi.org/10.1016/j.nutres.2016.07.005,"Conditionally essential during wound healing, burns, sepsis, trauma, surgery, immune dysfunction, stress, critical illness, pregnancy, and growth periods. Optimal: 3000-6000mg/day for cardiovascular health, therapeutic: up to 30000mg/day"
Arginine,Female,48,96,4000,mg,Research-based,Nutrition Research,https://doi.org/10.1016/j.nutres.2016.07.005,"Conditionally essential during wound healing, burns, sepsis, trauma, surgery, immune dysfunction, stress, critical illness, pregnancy, and growth periods. Optimal: 3000-6000mg/day for cardiovascular health, therapeutic: up to 30000mg/day"
Arginine,Male,48,96,4000,mg,Research-based,Nutrition Research,https://doi.org/10.1016/j.nutres.2016.07.005,"Conditionally essential during wound healing, burns, sepsis, trauma, surgery, immune dysfunction, stress, critical illness, pregnancy, and growth periods. Optimal: 3000-6000mg/day for cardiovascular health, therapeutic: up to 30000mg/day"
Arginine,Female,108,156,4500,mg,Research-based,Nutrition Research,https://doi.org/10.1016/j.nutres.2016.07.005,"Conditionally essential during wound healing, burns, sepsis, trauma, surgery, immune dysfunction, stress, critical illness, pregnancy, and growth periods. Optimal: 3000-6000mg/day for cardiovascular health, therapeutic: up to 30000mg/day"
Arginine,Male,108,156,4500,mg,Research-based,Nutrition Research,https://doi.org/10.1016/j.nutres.2016.07.005,"Conditionally essential during wound healing, burns, sepsis, trauma, surgery, immune dysfunction, stress, critical illness, pregnancy, and growth periods. Optimal: 3000-6000mg/day for cardiovascular health, therapeutic: up to 30000mg/day"
Arginine,Female,168,216,5000,mg,Research-based,Nutrition Research,https://doi.org/10.1016/j.nutres.2016.07.005,"Conditionally essential during wound healing, burns, sepsis, trauma, surgery, immune dysfunction, stress, critical illness, pregnancy, and growth periods. Optimal: 3000-6000mg/day for cardiovascular health, therapeutic: up to 30000mg/day"
Arginine,Lactating,168,216,6000,mg,Research-based,Nutrition Research,https://doi.org/10.1016/j.nutres.2016.07.005,"Conditionally essential during wound healing, burns, sepsis, trauma, surgery, immune dysfunction, stress, critical illness, pregnancy, and growth periods. Optimal: 3000-6000mg/day for cardiovascular health, therapeutic: up to 30000mg/day"
Arginine,Male,168,216,5000,mg,Research-based,Nutrition Research,https://doi.org/10.1016/j.nutres.2016.07.005,"Conditionally essential during wound healing, burns, sepsis, trauma, surgery, immune dysfunction, stress, critical illness, pregnancy, and growth periods. Optimal: 3000-6000mg/day for cardiovascular health, therapeutic: up to 30000mg/day"
Arginine,Pregnant,168,216,6000,mg,Research-based,Nutrition Research,https://doi.org/10.1016/j.nutres.2016.07.005,"Conditionally essential during wound healing, burns, sepsis, trauma, surgery, immune dysfunction, stress, critical illness, pregnancy, and growth periods. Optimal: 3000-6000mg/day for cardiovascular health, therapeutic: up to 30000mg/day"
Arginine,Female,228,360,5000,mg,Research-based,Circulation Research,https://doi.org/10.1161/01.res.0000146676.91042.43,"Conditionally essential during wound healing, burns, sepsis, trauma, surgery, immune dysfunction, stress, critical illness, pregnancy, and growth periods. Optimal: 3000-6000mg/day for cardiovascular health, therapeutic: up to 30000mg/day"
Arginine,Lactating,228,360,6000,mg,Research-based,Circulation Research,https://doi.org/10.1161/01.res.0000146676.91042.43,"Conditionally essential during wound healing, burns, sepsis, trauma, surgery, immune dysfunction, stress, critical illness, pregnancy, and growth periods. Optimal: 3000-6000mg/day for cardiovascular health, therapeutic: up to 30000mg/day"
