nutrient,gender,age_start_months,age_end_months,amount,unit,source_type,source_name,source_url,notes
Vitamin A,Male,0,6,1173.87,mcg RAE,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin A,Female,0,6,918.68,mcg RAE,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin A,Male,7,12,1467.34,mcg RAE,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin A,Female,7,12,1148.36,mcg RAE,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin A,Male,12,36,1760.81,mcg RAE,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin A,Female,12,36,1378.03,mcg RAE,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin A,Male,48,96,2347.75,mcg RAE,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin A,Female,48,96,1837.37,mcg RAE,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin A,Male,108,156,2641.22,mcg RAE,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin A,Female,108,156,2067.04,mcg RAE,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin A,Male,168,216,3228.15,mcg RAE,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin A,Female,168,216,2526.38,mcg RAE,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin A,Pregnant,168,216,3284.30,mcg RAE,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin A,Lactating,168,216,3536.93,mcg RAE,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin A,Male,228,360,2934.68,mcg RAE,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin A,Female,228,360,2296.71,mcg RAE,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin A,Pregnant,228,360,2985.72,mcg RAE,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin A,Lactating,228,360,3215.39,mcg RAE,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin A,Male,372,600,2934.68,mcg RAE,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
Vitamin A,Female,372,600,2296.71,mcg RAE,RDA Extract,Extract from ODS,https://ods.od.nih.gov/,RDA calculated value
